#,"",Storage,RAM,Screen_Size,Battery_Capacity,Price,Camera_0,Camera_1,Camera_2,Camera_3
1,Storage,1.000000,0.691341,0.018429,-0.074952,0.711050,0.362034,0.526685,0.556139,0.204599
2,RAM,0.691341,1.000000,0.058023,-0.027627,0.637172,0.511922,0.534389,0.489217,0.276074
3,Screen_Size,0.018429,0.058023,1.000000,0.387636,-0.213005,0.239490,0.068705,0.028580,0.153422
4,Battery_Capacity,-0.074952,-0.027627,0.387636,1.000000,-0.396581,0.289967,-0.115908,-0.045846,0.182662
5,Price,0.711050,0.637172,-0.213005,-0.396581,1.000000,0.120588,0.628462,0.617568,0.136328
6,Camera_0,0.362034,0.511922,0.239490,0.289967,0.120588,1.000000,0.151933,0.179320,0.409348
7,Camera_1,0.526685,0.534389,0.068705,-0.115908,0.628462,0.151933,1.000000,0.453277,0.177013
8,Camera_2,0.556139,0.489217,0.028580,-0.045846,0.617568,0.179320,0.453277,1.000000,0.177926
9,Camera_3,0.204599,0.276074,0.153422,0.182662,0.136328,0.409348,0.177013,0.177926,1.000000
